origin,destination,distance_km,state,route_description,updated_on,approval_no
KURICHI,I B VALLY,1930,Odisha,ERODE-VELLOR-VIJAYWAD-VIZAG,2017-06-19,
KURICHI,KAKATIYA,1102,,MYSORE-BANGALORE,2014-03-31,
KURICHI,KHANDWA,1718,,HYDERABAD-NAGPUR-EDILABAD,2014-03-31,
KURICHI,KHAPERKHEDA,1381,,,2014-03-31,
KURICHI,KORBA,1849,,COIMBATORE,2014-03-31,
KURICHI,MALWA,1866,,KHANDWA,2014-03-31,
KURICHI,NABINAGAR,2316,,COMBTR-BNGLR-HBAD-VARAN-AURNBD,2014-03-31,
KURICHI,PARLI,1283,,HYDERABAD,2014-03-31,
KURICHI,RAICHUR,804,,BANGLORE,2014-03-31,
KURICHI,SEONI,1542,,HYDERABAD-NAGPUR,2014-03-31,
KURICHI,VIJAYWADA,967,,MYSORE-BANGALORE,2014-03-31,
KURLCHHI,BHILAI,1595,,,2014-03-31,
KURNOOL,BELLARY,158,,,2014-03-31,
KURNOOL,CUDDAPAH,195,,,2014-03-31,A026
KUTCH,HARIDWAR,1340,Uttarakhan,"PALANPUR,SIROHI, PALI, AJMER,J",2016-10-12,
LALITPUR,MUNDRA PORT,1203,,INDORE AHMEDABAD,2014-03-31,
LUCKNOW,AYODHYA,131,,,2014-03-31,
LUCKNOW,CHANDIGARH,686,,,2014-03-31,A21
LUCKNOW,KORBA NTPC,742,,,2014-03-31,
LUCKNOW,MORADABAD,339,,,2014-03-31,
LUCKNOW,PANIPAT,584,,,2014-03-31,A-14
LUCKNOW,SAHARANPUR,555,,,2014-03-31,A21
LUCKNOW,UNCHAHAR,115,,RAIBAREILLY,2014-03-31,
LUCKNOW,VARANASI,285,,,2014-03-31,
LUCKNOW,VINDHYANAGAR,439,,,2014-03-31,
LUDHIANA,BHATHINDA,149,,,2014-03-31,A027
LUDHIANA,GOVINDWAL,114,,,2014-03-31,A07
LUDHIANA,JULLANDHAR,58,,,2014-03-31,A07
LUDHIANA,RAMAGUNDAM,1698,Ap,,2014-03-31,A-03
MADURAI,RAMANATHAPURAM,112,,,2014-03-31,A08
MADURAI,SALEM,222,,,2014-03-31,A08
MADURAI,TIRUCHI,119,,,2014-03-31,A07
MADURAI,TUTICORIN,133,,,2014-03-31,A08
MAHOBA,JHANSI,147,,,2014-03-31,A026
MAIHAR,WAIDHAN,266,,,2014-03-31,
MALAI MALINAGAR,BAKRESHWAR,1769,,,2014-03-31,
MALAI MALINAGAR,BELLARY,662,,,2014-03-31,
MALAI MALINAGAR,BHATINDA,2348,,,2014-03-31,
MALAI MALINAGAR,CHANDRAPURA,1812,,,2014-03-31,
MALAI MALINAGAR,FARAKKA,1992,,,2014-03-31,
MALAI MALINAGAR,KORBA,1641,,,2014-03-31,
MALAI MALINAGAR,RAYALSEEMA,333,,,2014-03-31,
MALAI MALINAGAR,SANTALDIH,1727,,,2014-03-31,
MALEGAON,NASIK,105,,,2014-03-31,
MANDIDEEP,HARIDWAR,912,Mp,BHOPAL,2018-12-29,
MANGAWON,WAIDHAN,138,,,2014-03-31,
MANIPAL,HARIDWAR,2419,Uttrakhand,MANIPAL-BELGAUM-PUNE-NASIK-INDORE-GWALIOR-DELHI-HARDWAR,2018-12-29,
MATHURA,SURATGARH,488,,,2014-03-31,
MATHURA,VINDHYANAGAR,798,,,2014-03-31,
MAUDA,KAKATIYA,547,,NAGPUR,2014-03-31,
MAUDA,NORTH KARANPURA,864,Maharashtra,RAIPUR-BILASPUR-BARO,2024-04-20,1578
MAUDA,YERAMARUS,755,Ap,ADL-NZMB-MBNGR,2026-01-10,
MEDINPUR,BISHANPUR,73,Wb,,2014-03-31,
MEDINPUR,PANAGARH,120,,,2014-03-31,A022
MEERUT,YAMUNANAGAR,155,Up,,2014-03-31,
MOHALI,GANGUWAL KOTLA,70,Punjab,,2014-03-31,A-01
MONGLA PORT,MAITREE,15,Bang. Desh,,2021-05-24,
MORADABAD,BAZPUR,78,,,2014-03-31,
MORADABAD,RUDRAPUR,72,,MGI SKETCH 131,2014-03-31,
MOUDA,BHUSAWAL,500,Mharashtra,WARDHA AKOLA,2021-02-18,
MOUDA,LALITPUR,506,,NAGPUR-JHANSI,2014-03-31,
MOUDA,NELLORE,959,Andr Prdsh,ADILADAB-ONGOLE,2021-10-14,
MOUHA,NELLORE,959,Andr Prdsh,ADILADAB-ONGOLE,2021-09-29,
MUMBAI,AHMADABAD,535,Gujarat,,2014-03-31,
MUMBAI,AHMADNAGAR,265,,,2014-03-31,
MUMBAI,AJMER,1071,,,2014-03-31,
MUMBAI,AMARKANTAK,1369,,Mumbai-Ngp-Jablpr-Katni-Amarkn,2014-03-31,A022
MUMBAI,AMBALA,1582,Punjab,,2014-03-31,A-05
MUMBAI,AMRAVATI,661,,NAGPUR,2014-03-31,
MUMBAI,ANGUL,1560,,,2014-03-31,
MUMBAI,ANPARA,1488,Up,,2014-03-31,
MUMBAI,AVANTHA BANDAR,1395,,RAIGARH,2014-03-31,
MUMBAI,BAKRESHWAR,1953,,,2014-03-31,
MUMBAI,BARDDHAMAN,2008,,DURGAPUR,2014-03-31,
MUMBAI,BARH,1758,,PATNA,2014-03-31,
MUMBAI,BARSI,365,,,2014-03-31,
MUMBAI,BATALA,1851,Punjab,,2014-03-31,
MUMBAI,BELLARY,778,,,2014-03-31,A21
MUMBAI,BHADRADRI,1001,Telangana,"PUNE, SOLAPUR, HYD",2024-05-10,1579
MUMBAI,BHATINDA,1567,,,2014-03-31,
MUMBAI,BHILAI,1050,,NAGPUR,2014-03-31,
MUMBAI,BHIWANDI,58,,,2014-03-31,A07
MUMBAI,BHUSAWAL,355,,,2014-03-31,
MUMBAI,BIRSINGHPUR,1272,,,2014-03-31,
MUMBAI,BOKARO,1777,,SANTALDIH,2014-03-31,
MUMBAI,BONGAIGAON,2759,Assam,FARAKKA,2014-03-31,
MUMBAI,BUDGE-BUDGE,1899,,REVISION OF PAGE NO:1076,2014-03-31,
MUMBAI,CHANDERPUR,1010,Maharashtr,,2014-03-31,
MUMBAI,CHANDIPUR,1782,Orrisa,via Baleshwar,2014-03-31,
MUMBAI,CHANDRAPURA,1834,Jharkhand,AS PER AMENDMENT AT PAGE 1214,2014-03-31,A022
MUMBAI,CHANDWA,1920,Jharkhand,NAGPUR-RANCHI,2014-03-31,
MUMBAI,CHENNAI,1337,,,2014-03-31,
MUMBAI,CHHABRA,1174,,,2014-03-31,
MUMBAI,DADRI,1415,,,2014-03-31,
MUMBAI,DAHANU,153,,,2014-03-31,
MUMBAI,DAHEJ,399,Gujarat,,2014-03-31,
MUMBAI,DAMAN,195,Maharashtr,,2014-03-31,
MUMBAI,DB POWER,1307,,NAGPUR- BILASPUR,2014-03-31,
MUMBAI,DERANG,1623,,TALCHAR,2014-03-31,
MUMBAI,DHAULPUR,1139,,,2014-03-31,A21
MUMBAI,DHULE,344,Maharstra,,2014-03-31,
MUMBAI,DURGAPUR,1945,Wb,,2014-03-31,
MUMBAI,ENNORE,1372,,CHENNAI,2014-03-31,
MUMBAI,FARAKKA,2196,,,2014-03-31,
MUMBAI,FARIDABAD,1362,,,2014-03-31,
MUMBAI,GADARWARA,993,Mp,NASIK-SHIRPUR-DEWAS-BHOPAL-RAISEN-GADARWARA,2018-11-15,
MUMBAI,GANDHINAGAR,580,Gujarat,,2014-03-31,
MUMBAI,GOA,593,,,2014-03-31,
MUMBAI,GOVINDWAL,1776,,HARDWAR - DELHI- AMBALA,2014-03-31,
MUMBAI,GURGAON,1349,Haryana,,2014-03-31,A-04
MUMBAI,HARDUWAGANG,1481,,,2014-03-31,
MUMBAI,HARIDWAR,1643,Uttrakhand,"MUMBAI,BARODA,UDAIPUR,RAJASMAND,GURGAON,NEW DELHI,HARDWAR",2023-08-31,
MUMBAI,HAZIRA,376,,SURAT,2014-03-31,
MUMBAI,IB VALLEY,1477,,,2014-03-31,
MUMBAI,INDORE,591,,,2014-03-31,A-06
MUMBAI,JAGDISHPUR,1305,Up,RAEBARELI,2014-03-31,
MUMBAI,JAIPUR,1121,Rajasthan,,2014-03-31,A-04
MUMBAI,JAMSHEDPUR,1845,Jharkhand,DHULE,2014-03-31,
MUMBAI,JHAJJHAR-ARAVLI,1354,,REWARI,2014-03-31,
MUMBAI,JPL SEONI,943,,NAGPUR,2014-03-31,
MUMBAI,KADANA,515,,,2014-03-31,
MUMBAI,KAHALGAON,2022,,,2014-03-31,
MUMBAI,KAKATIYA,935,,,2014-03-31,
MUMBAI,KALAMBOLI,45,,,2014-03-31,
MUMBAI,KALANALLA,1140,,,2014-03-31,
MUMBAI,KALPAKKAM,1395,,CHENNAI,2014-03-31,
MUMBAI,KANDLA,904,,,2014-03-31,
MUMBAI,KATNI,1081,,,2014-03-31,
MUMBAI,KAYAMKULAM,1424,,,2014-03-31,
MUMBAI,KENDURJHARGARH,1550,,,2014-03-31,
MUMBAI,KHAMMAM,921,,HYDERABAD,2014-03-31,
MUMBAI,KHANDWA,575,,KHANDWA=SHREE SINGHAJI,2014-03-31,
MUMBAI,KHAPERKHEDA,841,,,2014-03-31,
MUMBAI,KHURJA,1337,U.P.,NSK-GWLR,2021-12-27,
MUMBAI,KOCHI,1346,,,2014-03-31,
MUMBAI,KODARMA,1980,,NAGPUR - RANCHI,2014-03-31,
MUMBAI,KOLAGHAT,1869,,,2014-03-31,
MUMBAI,KORBA,1299,,,2014-03-31,
MUMBAI,KOTA,1012,,,2014-03-31,
MUMBAI,KOTESHWAR,1718,,,2014-03-31,
MUMBAI,KOTHAGUDAM,1020,,,2014-03-31,
MUMBAI,KRISHNAPATNAM,1212,Ap,"MUMBAI,PUNE,SOLAPUR,KUKATPALLY,NALGONDA,ONGOLE,NELLORE,KRISHNAPATNAM",2018-12-17,
MUMBAI,KUNDLI (SONIPAT,1426,,,2014-03-31,A-04
MUMBAI,LALITPUR,1038,,MUMBAI-BHOPAL-SAGAR-LALITPUR,2014-03-31,
MUMBAI,LARJI,1848,,,2014-03-31,A-06
MUMBAI,MAITHON,1861,,,2014-03-31,
MUMBAI,MALEGAON,291,,,2014-03-31,
MUMBAI,MALWA,635,,,2014-03-31,
MUMBAI,MAUDA,849,,NAGPUR,2014-03-31,
MUMBAI,MEJIA,1898,,,2014-03-31,
MUMBAI,MUZAFFARPUR,1778,Bihar,BHOPAL-VARANASI-PATNA,2014-03-31,
MUMBAI,NABINAGAR,1662,,BPL-JBL-RWA-MRZR-MUGL-SASA-AUR,2014-03-31,
MUMBAI,NAGPUR,816,,,2014-03-31,
MUMBAI,NASIK,158,,,2014-03-31,
MUMBAI,NATHPA JHAKRI,1885,,,2014-03-31,
MUMBAI,NEYVELI,1459,,,2014-03-31,
MUMBAI,NOIDA,1411,Up,,2014-03-31,
MUMBAI,PALTANA SITE,3294,,NPUR-VARNSI-PATNA-GHATI-AGRTLA,2014-03-31,
MUMBAI,PANIPAT,1460,Haryana,,2014-03-31,A-04
MUMBAI,PARAS,604,Maharastr,Dhule-Balapur-Paras,2014-03-31,A020
MUMBAI,PARDI,199,,,2014-03-31,A024
MUMBAI,PARDI ROAD,193,,,2014-03-31,
MUMBAI,PARICHHA,1083,Up,BCT-INDORE-RAJGHAT-SHIVPUR-JHS,2014-03-31,A-14
MUMBAI,PARLI,512,,,2014-03-31,
MUMBAI,PATRATU,1823,,,2014-03-31,
MUMBAI,PIPAVAV,866,Gujarat,AHEMDABAD-BHAVNAGAR,2014-03-31,
MUMBAI,PRAYAGRAJ BARA,1657,,NAGPUR-VARANASI-ALLAHABAD,2014-03-31,
MUMBAI,PUNE,163,,,2014-03-31,A-04
MUMBAI,RAICHUR,752,,PUNE-SOLAPUR-GULBERG,2014-03-31,
MUMBAI,RAIGARH OPJSTPP,1370,,Modified 08.05.06,2014-03-31,
MUMBAI,RAMAGUNDAM,798,,,2014-03-31,A-04
MUMBAI,RAYALSEEMA,1060,,-PUNE-SOLAPUR-HOSPET-BELLARY-C,2014-03-31,A21
MUMBAI,RIHAND DAM,1471,,,2014-03-31,A-04
MUMBAI,ROORKEE,1517,Ua,"Hwr,Mumbai(-)hwr,Rke 1549-32=",2014-03-31,A-09
MUMBAI,ROPAR,1676,,,2014-03-31,
MUMBAI,ROURKELA,1568,,,2014-03-31,
MUMBAI,SAGARDHIGHI,2126,,KOLKATA-MURSHIDABAD,2014-03-31,
MUMBAI,SAGARDIGHI,2057,Wb,AUR-NAGPUR-RANCHI-DH,2023-04-07,
MUMBAI,SAMBALPUR,1400,,,2014-03-31,
MUMBAI,SANTALDIH,1825,,-NAGPUR-KENDURJHARGARH-CHADIL-,2014-03-31,A21
MUMBAI,SATARA,273,,,2014-03-31,
MUMBAI,SATPURA,861,,,2014-03-31,
MUMBAI,SHIVPURI,964,,,2014-03-31,A-14
MUMBAI,SIDHI,1310,,KATNI-MAIHAR-AMARPATAN-REWA-GG,2014-03-31,
MUMBAI,SILVASSA,202,,,2014-03-31,
MUMBAI,SIMHADRI,1369,,,2014-03-31,
MUMBAI,SINGARENI,1069,,HYDERABAD-KHAMMAM,2014-03-31,
MUMBAI,SINGUR,751,,,2014-03-31,
MUMBAI,SIPAT,1432,,-NAGPUR-JABALPUR-BILASPUR-,2014-03-31,A025
MUMBAI,SOLAPUR,395,,,2014-03-31,A21
MUMBAI,SONBHADRA,1676,,SHIVPURI-JHANSI,2014-03-31,
MUMBAI,SURAT,351,,,2014-03-31,
MUMBAI,SURATGARH,1482,,,2014-03-31,
MUMBAI,TALAJA,48,,,2014-03-31,
MUMBAI,TALCHER,1588,,,2014-03-31,
MUMBAI,TARAPUR,108,,,2014-03-31,
MUMBAI,THANE,43,,,2014-03-31,A07
MUMBAI,TUTICORIN,1539,Karnataka,Mumbai-kolhapur-Nipin-tunkur-,2014-03-31,A 13
MUMBAI,UDAIPUR,795,,UDAIPUR-AMD.BAD-VADODRA-MUMBAI,2014-03-31,A024
MUMBAI,UKAI,468,Gujarat,SURAT,2014-03-31,
MUMBAI,UNCHAHAR,1300,,,2014-03-31,
MUMBAI,VADODARA,426,,,2014-03-31,
MUMBAI,VALLUR,1337,Namilnadu,,2014-03-31,
MUMBAI,VELLURE(ENNURE),1362,,CHENNAI,2014-03-31,
MUMBAI,VIJAYAWADA,1006,,Mumbai-735-Hydr.-271-Vij.=1006,2014-03-31,
MUMBAI,VINDHYACHAL TPS,1518,,-NAGPUR-JABALPUR-REWA-WAIDHAN-,2014-03-31,A025
MUMBAI,VINDHYANAGAR,1518,,,2014-03-31,
MUMBAI,VISAKHAPATNAM,1344,,,2014-03-31,
MUMBAI,WAIDHAN,1412,Mp,Mumbai-Katni-Sidi-Waidhan,2014-03-31,
MUMBAI,WANAKBORI,717,,,2014-03-31,
MUMBAI,WARANGAL,875,,REVISED OLD AT PAGE 1070,2014-03-31,
MUMBAI,YERAMARUS,744,Karnataka,RAICHUR,2014-03-31,
MUMBAI (TALOJA),BINA,1136,,SHIVPURI,2014-03-31,
MUMBAI AIRPORT,MAHAN,1455,Chg,NGP-JBL-REWA,2025-06-28,
MUMBAI PORT,PANKI,1323,U.P.,NASIK-JHANSI,2020-06-23,
MUMBAI PORT,UDANGUDI,1624,Tn,PUNE KHOLAPUR MADWAI,2021-03-19,
MUMBAI(NAVASEVA,MARWA,1327,,KORBA,2014-03-31,
MUNPL MEJA,HARIDWAR,750,Up,LKO BLY MDD,2021-11-24,
MYSORE,SATYAMANGALAM,134,,,2014-03-31,A08
NABINAGAR,BARAUNI,248,Bihar,BAKHTIARPUR,2025-12-01,
NAGPUR,AHMADABAD,819,,,2014-03-31,
NAGPUR,AKOLA,245,,,2014-03-31,A020
NAGPUR,ALLAHABAD,607,,,2014-03-31,A07
NAGPUR,AMARKANTAK,553,,,2014-03-31,A022
NAGPUR,AMRAVATI,155,,,2014-03-31,
NAGPUR,AURANGABAD,505,,,2014-03-31,
NAGPUR,BALESHWAR,994,,,2014-03-31,A026
NAGPUR,BALLARPUR,167,,,2014-03-31,
NAGPUR,BETUL,180,,,2014-03-31,A08
NAGPUR,BHANDARA,61,,,2014-03-31,A08
NAGPUR,BHILAI,234,,,2014-03-31,A08
NAGPUR,BILASPUR,389,,,2014-03-31,A07
NAGPUR,CHANDERPUR,151,Maharshtr,P/554 MODIFIED 07.12.02,2014-03-31,
NAGPUR,DHAULPUR,727,,,2014-03-31,A21
NAGPUR,DHULE,518,,,2014-03-31,A024
NAGPUR,DURGAPUR,1082,,,2014-03-31,
NAGPUR,EDILABAD,194,,,2014-03-31,A025
NAGPUR,GWALIOR,687,,,2014-03-31,A07
NAGPUR,INDORE,454,,,2014-03-31,A-15
NAGPUR,JABALPUR,267,,,2014-03-31,a 11
NAGPUR,KAHALGAON,1206,,,2014-03-31,
NAGPUR,KAKATIYA TPS,514,Ap,Nagpur-Karimnagar-warangal-Kak,2014-03-31,A030
NAGPUR,KARIMNAGAR,382,,,2014-03-31,A030
NAGPUR,KENDURJHARGARH,763,,Route 6(361-124=763) modified,2014-03-31,
NAGPUR,KHAPERKHEDA,25,,,2014-03-31,
NAGPUR,KHARAGPUR,947,,,2014-03-31,
NAGPUR,KHEMGAON,292,,,2014-03-31,A07
NAGPUR,KIRANDUL,624,Mp,*Bustar,2014-03-31,
NAGPUR,KORBA NTPC,483,,,2014-03-31,
NAGPUR,KOTHAGUDAM,582,,,2014-03-31,A031
NAGPUR,MEJIA,1113,,,2014-03-31,
NAGPUR,MIRZAPUR,644,,,2014-03-31,A07
NAGPUR,NAINI,609,,*Naini is 9Km from Allahabad,2014-03-31,A-15
NAGPUR,NANDED,447,,,2014-03-31,A025
NAGPUR,NASIK,658,,,2014-03-31,A07
NAGPUR,PALGHAT,1448,,,2014-03-31,A-07
NAGPUR,PARAS,274,,,2014-03-31,A020
NAGPUR,PARLI,504,,,2014-03-31,A025
NAGPUR,PUNE,724,,AHMADNAGAR- KHAMGAON-,2014-03-31,A027
NAGPUR,RAIGARH OPJSTPP,554,,Modified 08.05.06,2014-03-31,
NAGPUR,RAIPUR,277,,,2014-03-31,A-16
NAGPUR,RAMAGUNDAM,407,Ap,,2014-03-31,
NAGPUR,RANCHI,1026,,,2014-03-31,
NAGPUR,REWA,492,,,2014-03-31,A-11
NAGPUR,SAGAR,390,,,2014-03-31,A026
NAGPUR,SAHARANPUR,1135,,,2014-03-31,
NAGPUR,SAMBALPUR,547,,,2014-03-31,A-16
NAGPUR,SANTALDIH,1009,,,2014-03-31,
NAGPUR,SHIRWAL,775,,,2014-03-31,A027
NAGPUR,SINGARENI,320,Ap,,2014-03-31,
NAGPUR,SIPAT,616,,,2014-03-31,A022
NAGPUR,TALCHER,705,Orrisa,543+162=705,2014-03-31,
NAGPUR,TIRUCHI,1367,,,2014-03-31,
NAGPUR,UNCHAHAR,807,,SAGAR-RAEBAREILY-,2014-03-31,A026
NAGPUR,VARANSHI,704,,,2014-03-31,
NAGPUR,VINDHYANAGAR,702,,,2014-03-31,A025
NAGPUR,WAPI,796,Maharstra,Wapi-Dhule-Ngp,2014-03-31,A024
NAGPUR,WARDHA,77,,,2014-03-31,
NAHAVASHEVA,BELA,928,,MUMBAI-NAGPUR,2014-03-31,
NAINI,AKOLA,854,,ALLAHABAD-NAINI-REWA-NAGPUR-,2014-03-31,A025
NAINI,AMARKANTAK,387,,,2014-03-31,
NAINI,BAKRESHWAR,661,,,2014-03-31,
NAINI,BARHI,409,,,2014-03-31,A026
NAINI,BELLARY,1418,,,2014-03-31,A026
NAINI,BHATINDA,960,,*Allahabad,2014-03-31,
NAINI,BHILAI,837,,,2014-03-31,
NAINI,BHUSAWAL,1016,,AKOLA,2014-03-31,
NAINI,BIRSINGHPUR,318,,,2014-03-31,A026
NAINI,BONGAIGAON,1118,,ALLAHBAD-VARANSI-PATNA-CHAMPAG,2014-03-31,
NAINI,BUDGE-BUDGE,814,,KOLKATA,2014-03-31,
NAINI,CHANDERPUR,785,,,2014-03-31,
NAINI,CHANDRAPURA,523,,,2014-03-31,
NAINI,CHENNAI,1998,,UNCHAHAR,2014-03-31,
NAINI,CHHABRA,615,,,2014-03-31,
NAINI,DADRI,657,,DELHI,2014-03-31,
NAINI,DELHI,692,,,2014-03-31,A026
NAINI,DURGAPUR,633,,ALLAHABAD,2014-03-31,
NAINI,FARAKKA,754,,BHAGALPUR,2014-03-31,
NAINI,GANDHINAGAR,1210,,*Allahabad,2014-03-31,
NAINI,HARDUAGANJ,512,,,2014-03-31,
NAINI,HAZIRA,1499,,SURAT,2014-03-31,
NAINI,IB VALLEY,893,,,2014-03-31,
NAINI,JHAJJAR (SITE),797,,DELHI,2014-03-31,
NAINI,KAHALGAON,743,,,2014-03-31,A026
NAINI,KAKATIYA,1121,,,2014-03-31,
NAINI,KALPAKKAM,2056,,CHANNAI,2014-03-31,
NAINI,KHAPERKHEDA,630,,,2014-03-31,
NAINI,KODERMA,451,,ALLAHABAD,2014-03-31,
NAINI,KORBA,652,,REWA-JABALPUR-,2014-03-31,A026
NAINI,KOTHAGUDAM,1216,,,2014-03-31,
NAINI,MAITHAM,579,,ALLAHABAD-CHIKUNDA ROAD,2014-03-31,
NAINI,MEJIA,667,W.Bengal,ALLAHABAD,2014-03-31,
NAINI,MUMBAI,1423,,,2014-03-31,
NAINI,NEYVELI,2212,,,2014-03-31,
NAINI,PARAS,883,,NAGPUR,2014-03-31,
NAINI,PARICHHA,400,,,2014-03-31,
NAINI,PARLI,1113,,-REWA-NAGPUR-ADILABAD-NIZAMABD,2014-03-31,A025
NAINI,PIPARAR,1541,Gujarat,GANDHINAGAR-BHAVNAGAR,2014-03-31,
NAINI,RAICHUR,1279,,BERRALY,2014-03-31,
NAINI,RAIGARH,707,,,2014-03-31,
NAINI,RAMAGUNDAM,1016,,,2014-03-31,A-15
NAINI,RAYALSEEMA,1516,,JBALPUR-HYD-CUDDAPAH-,2014-03-31,A026
NAINI,REWA,117,,,2014-03-31,A-15
NAINI,ROORKEE,677,,,2014-03-31,
NAINI,SANTALDIH,615,,,2014-03-31,A026
NAINI,SIMHADRI,1135,,,2014-03-31,
NAINI,SIPAT,691,,*ALLAHABAD-NAINI-JABALPUR-,2014-03-31,A025
NAINI,SURAT,1474,,,2014-03-31,
NAINI,SURATGARH,987,,,2014-03-31,
NAINI,UKAI DAM,1577,,AHEMDABAD-KADODR A -SURAT,2014-03-31,
NAINI,UNCHAHAR,166,,,2014-03-31,
NAINI,VINDHYANAGAR,327,,REWA,2014-03-31,A026
NAINI,WANAKBORI,1376,,,2014-03-31,
NAINI REVISED,VIDHYANAGAR,85,Up,,2014-03-31,
NANDED,GULBARGA,259,,,2014-03-31,A026
NANDED,PARLI,57,,,2014-03-31,A026
NANDED,RAMAGUNDAM,295,,,2014-03-31,
NAROL,HARDUAGANJ,1074,,AHMEDABAD-DELHI-ALIGARG,2014-03-31,
NAROL,PARICHHA,866,,A'BAD-INDORE-SHIVPURI-JHANSI,2014-03-31,
NARUL,BUDGE-BUDGE,2002,,AHEMDABAD,2014-03-31,
NASIK,BHIWANDI,110,,MGI Sketch 29,2014-03-31,
NASIK,PARDI ROAD,132,Maharshtra,,2014-03-31,A07
NASIK,PARICHHA,865,,,2014-03-31,A022
NASIK,PUNE,202,,,2014-03-31,a 12
NASIK,TARAPUR,160,,,2014-03-31,a 12
NASIK,THANE,145,,,2014-03-31,A-12
NAUGACHHAI,BHAKTIYARPUR,165,,,2014-03-31,A026
NAUGACHHIA,KAHALGAON,587,,,2014-03-31,
NAUGACHHIA,KODARMA,285,,,2014-03-31,
NELLORE,BONGAIGAON,2407,Assam,VIJ-VIZAG-BLPR-NGKT,2021-04-19,
NEW DELHI,BARA TPS,713,Uttar Prad,"AGRA, ITAWA,KANPUR, ALLAHABAD",2017-02-14,
NEW DELHI,YEDADRI,1712,Telengana,GWL NGP NALGONDA,2021-12-28,
NEYVELI,TUTICORIN,425,Tn,TRICHI-MELUR,2025-11-24,
NHAVA SHEVA,BHAVNAGAR,610,Gujarat,VAPI-BALSAR-NAVSARI-ANKLESHWAR,2017-06-19,
NHAVA SHEVA,BHEL VARANASI,1511,U Pradesh,NASIK-INDORE,2022-05-02,
NHAVA SHEVA,JAGDISHPUR,1375,Up,NASIK-INDORE-JHS-KAN,2023-04-07,
NHAVA SHEVA,KORADI,854,Maharashtra,AHMEDNAGAR-AURANGABAD-AMRAVATI,2016-11-26,
NHAVA SHEVA,KOTHAGUDAM,1002,Telangana,PUNE-SHOLAPUR-WARANGAL,2016-11-26,
NHAVA SHEVA,NORTH KARANPURA,1726,Jharkhand,"AURANGABAD, RAIPUR",2016-03-21,
NHAVA SHEVA,RAGHANESDA,828,Gujarat,"VAPI, VADODARA",2020-05-22,
NHAVA SHEVA,ROURKELA,1584,Jharkhand,"AURANGABAD, NGP, BHILAI, SAMBA",2017-09-25,
NHAVA SHEVA,SURATGARH,1469,,BHARUCH VADODARA BHILWARA,2014-03-31,
NHAVA SHEVA POR,WANAKBORI,537,,"VADODARA, BHARUCH,NAVASARI, VA",2016-10-12,
NHAVASHEVA,ADHUNIK,1827,Jharkhand,RAIPUR,2015-11-24,
NHAVASHEVA,ANGUL,1627,,MUMBAI,2014-03-31,
NHAVASHEVA,AVANTHA BANDAR,1462,,MUMBAI,2014-03-31,
NHAVASHEVA,BARA,1724,,MUMBAI,2014-03-31,
NHAVASHEVA,BARH,1825,,MUMBAI,2014-03-31,
NHAVASHEVA,BELLARY,845,,NHAVASHEVA-MUMBAI-BELLARY,2014-03-31,
NHAVASHEVA,BOKARO,2074,,MUMBAI - CHANDRAPURA,2014-03-31,
NHAVASHEVA,BONGAIGAON,2826,,MUMBAI,2014-03-31,
NHAVASHEVA,CHANDWA,1987,,MUMBAI,2014-03-31,
NHAVASHEVA,CHHABRA,1241,,MUMBAI,2014-03-31,
NHAVASHEVA,DADRI,1415,,MUMBAI,2014-03-31,
NHAVASHEVA,DB POWER,1374,,MUMBAI-NAGPUR- BILAS PUR,2014-03-31,
NHAVASHEVA,DERANG,1690,,MUMBAI,2014-03-31,
NHAVASHEVA,DHUVARAN,489,Gujarat,VAPI VALSAD BHARUCH,2021-02-20,
NHAVASHEVA,HARDWAR,1670,,,2019-01-12,
NHAVASHEVA,HARIDWAR,1670,Uk,"NAVI MUMBAI,THANE,VAPI,VALSAD,BARODA,GODHRA,CHITTOREGARH,JAIPUR,BHIWADI,GAZIABAD,HARIDWAR",2019-01-12,
NHAVASHEVA,IB VALLEY,1435,Odisha,NAGPUR RAIPUR,2015-11-03,
NHAVASHEVA,JPL SEONI,1010,,MUMBAI- NAGPUR,2014-03-31,
NHAVASHEVA,KAKATIYA,935,,MUMBAI,2014-03-31,
NHAVASHEVA,KALPAKKAM,1462,,MUMBAI-CHENNAI,2014-03-31,
NHAVASHEVA,KHAPERKHEDA,908,,MUMBAI *REVISED ON 28/05/14,2014-03-31,
NHAVASHEVA,LALITPUR,1105,,MUMBAI,2014-03-31,
NHAVASHEVA,MALWA,702,,MUMBAI,2014-03-31,
NHAVASHEVA,MARWA,1394,,MUMBAI-KORBA,2014-03-31,
NHAVASHEVA,MOUDA,916,,MUMBAI *REVISED ON DT 28/05/14,2014-03-31,
NHAVASHEVA,NEYVELI,1362,Tamilnaidu,KOHLAPUR,2015-11-24,
NHAVASHEVA,NTPC BARH,1825,Maharashtra,MUMBAI,2014-03-31,
NHAVASHEVA,PANKI,1325,Up,"NASHIK, INDORE",2020-06-24,
NHAVASHEVA,PARLI,579,,MUMBAI,2014-03-31,
NHAVASHEVA,PATRATU,1752,Jharkhand,PUNE-NGPR-RPR-RCHI,2022-05-14,
NHAVASHEVA,RAICHUR,819,,MUMBAI,2014-03-31,
NHAVASHEVA,RAIGARH,1437,,MUMBAI,2014-03-31,
NHAVASHEVA,ROYALSEEMA,993,,MUMBAI *REVISED ON 28/05/14,2014-03-31,
